Image,Plot,Date_Index,Date,Variety,Cover,EXG_Local_AC,EXG_Local_PR,EXG_Local_RC,EXGR_Local_AC,EXGR_Local_PR,EXGR_Local_RC,GLI_Local_AC,GLI_Local_PR,GLI_Local_RC,VARI_Local_AC,VARI_Local_PR,VARI_Local_RC,EXG_Global_AC,EXG_Global_PR,EXG_Global_RC,EXGR_Global_AC,EXGR_Global_PR,EXGR_Global_RC,GLI_Global_AC,GLI_Global_PR,GLI_Global_RC,VARI_Global_AC,VARI_Global_PR,VARI_Global_RC,EXG_Zero_AC,EXG_Zero_PR,EXG_Zero_RC,EXGR_Zero_AC,EXGR_Zero_PR,EXGR_Zero_RC,GLI_Zero_AC,GLI_Zero_PR,GLI_Zero_RC,VARI_Zero_AC,VARI_Zero_PR,VARI_Zero_RC
302A_20210708,302A,20210708,07/08/2021,Oat,Post,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.36666666666666664,0.3448275862068966,1.0,0.7,1.0,0.1,0.7,1.0,0.1,0.7,1.0,0.1,0.6,0.4444444444444444,0.8,0.36666666666666664,0.3448275862068966,1.0,0.7333333333333333,0.75,0.3,0.36666666666666664,0.3448275862068966,1.0,0.7666666666666667,1.0,0.3
403C_20210708,403C,20210708,07/08/2021,Oat,Post,0.8666666666666667,0.8571428571428571,0.6666666666666666,0.3333333333333333,0.3103448275862069,1.0,0.3333333333333333,0.3103448275862069,1.0,0.7,0.5,0.8888888888888888,0.7,0.0,0.0,0.7,0.0,0.0,0.7666666666666667,1.0,0.2222222222222222,0.7333333333333333,0.5384615384615384,0.7777777777777778,0.6666666666666666,0.47368421052631576,1.0,0.8,1.0,0.3333333333333333,0.6666666666666666,0.47368421052631576,1.0,0.8,0.7142857142857143,0.5555555555555556
309C_20210708,309C,20210708,07/08/2021,Oat,Under,0.4666666666666667,0.4074074074074074,1.0,0.4666666666666667,0.4074074074074074,1.0,0.4666666666666667,0.4074074074074074,1.0,0.5333333333333333,0.44,1.0,0.6333333333333333,0.0,0.0,0.6666666666666666,1.0,0.09090909090909091,0.6666666666666666,1.0,0.09090909090909091,0.6666666666666666,0.5333333333333333,0.7272727272727273,0.6333333333333333,0.5,1.0,0.8,0.8571428571428571,0.5454545454545454,0.6333333333333333,0.5,1.0,0.8,0.8571428571428571,0.5454545454545454
207A_20210708,207A,20210708,07/08/2021,Oat,Under,0.2,0.14285714285714285,1.0,0.2,0.14285714285714285,1.0,0.2,0.14285714285714285,1.0,0.5,0.21052631578947367,1.0,0.8666666666666667,0.0,0.0,0.8666666666666667,0.0,0.0,0.8666666666666667,0.0,0.0,0.7,0.3076923076923077,1.0,0.5,0.21052631578947367,1.0,0.8666666666666667,0.5,0.25,0.5,0.21052631578947367,1.0,0.9,0.6666666666666666,0.5
102C_20210708,102C,20210708,07/08/2021,Oat,Under,0.36666666666666664,0.3333333333333333,0.9,0.36666666666666664,0.3333333333333333,0.9,0.36666666666666664,0.3333333333333333,0.9,0.4666666666666667,0.375,0.9,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.0,0.7,1.0,0.1,0.6,0.42857142857142855,0.6,0.6,0.4444444444444444,0.8,0.6666666666666666,0.5,0.1,0.6,0.4444444444444444,0.8,0.6333333333333333,0.4,0.2
402C_20210708,402C,20210708,07/08/2021,Oat,Post,0.6666666666666666,0.9166666666666666,0.55,0.8333333333333334,0.9411764705882353,0.8,0.7,0.9230769230769231,0.6,0.8333333333333334,0.8571428571428571,0.9,0.36666666666666664,1.0,0.05,0.36666666666666664,1.0,0.05,0.4,1.0,0.1,0.8,0.7916666666666666,0.95,0.7333333333333333,0.7142857142857143,1.0,0.8,0.9375,0.75,0.7333333333333333,0.7142857142857143,1.0,0.8333333333333334,0.8571428571428571,0.9
206A_20210708,206A,20210708,07/08/2021,Oat,Under,0.4666666666666667,0.4482758620689655,1.0,0.4666666666666667,0.4482758620689655,1.0,0.43333333333333335,0.43333333333333335,1.0,0.43333333333333335,0.42857142857142855,0.9230769230769231,0.5666666666666667,0.0,0.0,0.5666666666666667,0.0,0.0,0.6333333333333333,1.0,0.15384615384615385,0.6333333333333333,0.55,0.8461538461538461,0.6,0.5217391304347826,0.9230769230769231,0.7,1.0,0.3076923076923077,0.6,0.5217391304347826,0.9230769230769231,0.6666666666666666,0.8,0.3076923076923077
401A_20210708,401A,20210708,07/08/2021,Oat,Under,0.7666666666666667,0.5,0.42857142857142855,0.23333333333333334,0.23333333333333334,1.0,0.23333333333333334,0.23333333333333334,1.0,0.4666666666666667,0.2857142857142857,0.8571428571428571,0.7666666666666667,0.0,0.0,0.7666666666666667,0.0,0.0,0.8,1.0,0.14285714285714285,0.6333333333333333,0.35714285714285715,0.7142857142857143,0.36666666666666664,0.25,0.8571428571428571,0.8,1.0,0.14285714285714285,0.36666666666666664,0.25,0.8571428571428571,0.8,0.6666666666666666,0.2857142857142857
207A_20210821,207A,20210821,08/21/2021,Oat,Under,0.13333333333333333,0.07142857142857142,1.0,0.13333333333333333,0.07142857142857142,1.0,0.1,0.06896551724137931,1.0,0.3,0.08695652173913043,1.0,0.9333333333333333,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.0,0.6333333333333333,0.15384615384615385,1.0,0.6333333333333333,0.15384615384615385,1.0,0.9333333333333333,0.5,1.0,0.6333333333333333,0.15384615384615385,1.0,0.8666666666666667,0.3333333333333333,1.0
301A_20210821,301A,20210821,08/21/2021,Oat,Post,0.8333333333333334,0.0,0.0,0.13333333333333333,0.13333333333333333,1.0,0.13333333333333333,0.13333333333333333,1.0,0.16666666666666666,0.13793103448275862,1.0,0.8333333333333334,0.0,0.0,0.8333333333333334,0.0,0.0,0.8333333333333334,0.0,0.0,0.16666666666666666,0.13793103448275862,1.0,0.36666666666666664,0.17391304347826086,1.0,0.9333333333333333,0.6666666666666666,1.0,0.36666666666666664,0.17391304347826086,1.0,0.6333333333333333,0.26666666666666666,1.0
409B_20210821,409B,20210821,08/21/2021,Oat,Fallow,0.8666666666666667,0.5555555555555556,1.0,0.2,0.1724137931034483,1.0,0.8666666666666667,0.5555555555555556,1.0,0.6333333333333333,0.2857142857142857,0.8,0.8333333333333334,0.0,0.0,0.8666666666666667,1.0,0.2,0.9,0.75,0.6,0.36666666666666664,0.20833333333333334,1.0,0.26666666666666666,0.18518518518518517,1.0,0.9,0.625,1.0,0.26666666666666666,0.18518518518518517,1.0,0.8666666666666667,0.5714285714285714,0.8
310B_20210821,310B,20210821,08/21/2021,Oat,Fallow,0.2,0.20689655172413793,0.8571428571428571,0.2,0.20689655172413793,0.8571428571428571,0.2,0.20689655172413793,0.8571428571428571,0.26666666666666666,0.2222222222222222,0.8571428571428571,0.7666666666666667,0.0,0.0,0.7333333333333333,0.0,0.0,0.7333333333333333,0.0,0.0,0.6666666666666666,0.4,0.8571428571428571,0.8333333333333334,0.625,0.7142857142857143,0.9,0.8333333333333334,0.7142857142857143,0.8333333333333334,0.625,0.7142857142857143,0.8,0.5555555555555556,0.7142857142857143
207B_20210821,207B,20210821,08/21/2021,Oat,Fallow,0.7333333333333333,0.3333333333333333,0.6,0.16666666666666666,0.16666666666666666,1.0,0.16666666666666666,0.16666666666666666,1.0,0.36666666666666664,0.18181818181818182,0.8,0.8333333333333334,0.5,0.2,0.8333333333333334,0.5,0.2,0.7666666666666667,0.25,0.2,0.5,0.2222222222222222,0.8,0.36666666666666664,0.20833333333333334,1.0,0.7333333333333333,0.3333333333333333,0.6,0.36666666666666664,0.20833333333333334,1.0,0.7,0.3333333333333333,0.8
107B_20210821,107B,20210821,08/21/2021,Oat,Post,0.23333333333333334,0.23333333333333334,1.0,0.23333333333333334,0.23333333333333334,1.0,0.23333333333333334,0.23333333333333334,1.0,0.23333333333333334,0.23333333333333334,1.0,0.7666666666666667,0.0,0.0,0.8,1.0,0.14285714285714285,0.8,1.0,0.14285714285714285,0.36666666666666664,0.25,0.8571428571428571,0.8,0.5454545454545454,0.8571428571428571,0.8333333333333334,1.0,0.2857142857142857,0.8,0.5454545454545454,0.8571428571428571,0.9,0.75,0.8571428571428571
104B_20210821,104B,20210821,08/21/2021,Oat,Post,0.9333333333333333,0.0,0.0,0.1,0.06896551724137931,1.0,0.06666666666666667,0.06666666666666667,1.0,0.36666666666666664,0.09523809523809523,1.0,0.9333333333333333,0.0,0.0,0.9333333333333333,0.0,0.0,0.9333333333333333,0.0,0.0,0.36666666666666664,0.09523809523809523,1.0,0.36666666666666664,0.09523809523809523,1.0,0.8666666666666667,0.25,0.5,0.36666666666666664,0.09523809523809523,1.0,0.6333333333333333,0.15384615384615385,1.0
407C_20210909,407C,20210909,09/09/2021,Oat,Post,0.16666666666666666,0.13793103448275862,1.0,0.16666666666666666,0.13793103448275862,1.0,0.16666666666666666,0.13793103448275862,1.0,0.23333333333333334,0.12,0.75,0.8666666666666667,0.5,0.25,0.9,0.6666666666666666,0.5,0.9,0.6666666666666666,0.5,0.4,0.1111111111111111,0.5,0.36666666666666664,0.17391304347826086,1.0,0.9,0.6666666666666666,0.5,0.36666666666666664,0.17391304347826086,1.0,0.7666666666666667,0.2857142857142857,0.5
202A_20210909,202A,20210909,09/09/2021,Oat,Under,0.8,0.9285714285714286,0.7222222222222222,0.8,0.9285714285714286,0.7222222222222222,0.7666666666666667,0.8666666666666667,0.7222222222222222,0.8333333333333334,0.8095238095238095,0.9444444444444444,0.7666666666666667,0.8666666666666667,0.7222222222222222,0.8,0.875,0.7777777777777778,0.8,0.875,0.7777777777777778,0.6666666666666666,0.6428571428571429,1.0,0.6333333333333333,0.6206896551724138,1.0,0.8,0.7727272727272727,0.9444444444444444,0.6333333333333333,0.6206896551724138,1.0,0.7666666666666667,0.72,1.0
102A_20210909,102A,20210909,09/09/2021,Oat,Fallow,0.13333333333333333,0.10344827586206896,1.0,0.16666666666666666,0.10714285714285714,1.0,0.13333333333333333,0.10344827586206896,1.0,0.23333333333333334,0.11538461538461539,1.0,0.9,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.0,0.5333333333333333,0.17647058823529413,1.0,0.5666666666666667,0.1875,1.0,0.7666666666666667,0.0,0.0,0.5666666666666667,0.1875,1.0,0.7666666666666667,0.0,0.0
406B_20210909,406B,20210909,09/09/2021,Oat,Fallow,0.9666666666666667,1.0,0.8,0.23333333333333334,0.17857142857142858,1.0,0.16666666666666666,0.16666666666666666,1.0,0.3333333333333333,0.2,1.0,0.9666666666666667,1.0,0.8,0.9666666666666667,1.0,0.8,0.9333333333333333,0.8,0.8,0.4666666666666667,0.23809523809523808,1.0,0.4,0.21739130434782608,1.0,0.8666666666666667,0.5555555555555556,1.0,0.4,0.21739130434782608,1.0,0.8333333333333334,0.5,1.0
109C_20210909,109C,20210909,09/09/2021,Oat,Under,0.7,1.0,0.3076923076923077,0.7333333333333333,1.0,0.38461538461538464,0.7333333333333333,0.8571428571428571,0.46153846153846156,0.6333333333333333,0.5454545454545454,0.9230769230769231,0.7,1.0,0.3076923076923077,0.7333333333333333,1.0,0.38461538461538464,0.7666666666666667,0.875,0.5384615384615384,0.5333333333333333,0.48,0.9230769230769231,0.4666666666666667,0.4444444444444444,0.9230769230769231,0.9,0.9166666666666666,0.8461538461538461,0.4666666666666667,0.4444444444444444,0.9230769230769231,0.7,0.6,0.9230769230769231
403C_20210909,403C,20210909,09/09/2021,Oat,Post,0.06666666666666667,0.034482758620689655,1.0,0.06666666666666667,0.034482758620689655,1.0,0.03333333333333333,0.03333333333333333,1.0,0.13333333333333333,0.037037037037037035,1.0,0.9666666666666667,0.0,0.0,0.9666666666666667,0.0,0.0,0.9666666666666667,0.0,0.0,0.5333333333333333,0.06666666666666667,1.0,0.4666666666666667,0.058823529411764705,1.0,0.9666666666666667,0.5,1.0,0.4666666666666667,0.058823529411764705,1.0,0.8666666666666667,0.2,1.0
401A_20210929,401A,20210929,09/29/2021,Oat,Under,0.36666666666666664,1.0,0.24,0.8,1.0,0.76,0.7333333333333333,0.9473684210526315,0.72,0.9333333333333333,1.0,0.92,0.7666666666666667,1.0,0.72,0.8666666666666667,1.0,0.84,0.8666666666666667,0.9565217391304348,0.88,0.8666666666666667,0.8620689655172413,1.0,0.8333333333333334,0.8333333333333334,1.0,0.9333333333333333,0.9259259259259259,1.0,0.8333333333333334,0.8333333333333334,1.0,0.9,0.8928571428571429,1.0
301B_20210929,301B,20210929,09/29/2021,Oat,Fallow,0.03333333333333333,0.03333333333333333,1.0,0.03333333333333333,0.03333333333333333,1.0,0.03333333333333333,0.03333333333333333,1.0,0.06666666666666667,0.034482758620689655,1.0,0.9666666666666667,0.0,0.0,0.9666666666666667,0.0,0.0,0.9666666666666667,0.0,0.0,0.3,0.045454545454545456,1.0,0.3,0.045454545454545456,1.0,0.9666666666666667,0.5,1.0,0.3,0.045454545454545456,1.0,0.7666666666666667,0.125,1.0
210C_20210929,210C,20210929,09/29/2021,Oat,Post,0.9,0.5,0.3333333333333333,0.9,0.5,0.3333333333333333,0.9,0.5,0.3333333333333333,0.6333333333333333,0.21428571428571427,1.0,0.9333333333333333,1.0,0.3333333333333333,0.9333333333333333,1.0,0.3333333333333333,0.9,0.5,0.3333333333333333,0.4666666666666667,0.15789473684210525,1.0,0.4,0.14285714285714285,1.0,0.9333333333333333,0.6666666666666666,0.6666666666666666,0.4,0.14285714285714285,1.0,0.8333333333333334,0.375,1.0
308B_20210929,308B,20210929,09/29/2021,Oat,Fallow,0.7333333333333333,0.0,0.0,0.03333333333333333,0.03333333333333333,1.0,0.03333333333333333,0.03333333333333333,1.0,0.13333333333333333,0.037037037037037035,1.0,0.9666666666666667,0.0,0.0,0.9666666666666667,0.0,0.0,0.9666666666666667,0.0,0.0,0.4666666666666667,0.058823529411764705,1.0,0.4,0.05263157894736842,1.0,0.9333333333333333,0.0,0.0,0.4,0.05263157894736842,1.0,0.8333333333333334,0.16666666666666666,1.0
308A_20210929,308A,20210929,09/29/2021,Oat,Post,0.9,0.8571428571428571,0.75,0.9333333333333333,0.875,0.875,0.9333333333333333,0.875,0.875,0.9,0.7272727272727273,1.0,0.8666666666666667,1.0,0.5,0.8666666666666667,1.0,0.5,0.8666666666666667,0.8333333333333334,0.625,0.4,0.3076923076923077,1.0,0.4666666666666667,0.3333333333333333,1.0,0.9666666666666667,0.8888888888888888,1.0,0.4666666666666667,0.3333333333333333,1.0,0.9,0.7272727272727273,1.0
409A_20210929,409A,20210929,09/29/2021,Oat,Under,0.43333333333333335,1.0,0.2916666666666667,0.4666666666666667,1.0,0.3333333333333333,0.5333333333333333,0.9166666666666666,0.4583333333333333,0.8333333333333334,1.0,0.7916666666666666,0.6666666666666666,0.9375,0.625,0.8333333333333334,1.0,0.7916666666666666,0.9,0.9565217391304348,0.9166666666666666,0.8333333333333334,0.8275862068965517,1.0,0.8,0.8,1.0,0.9666666666666667,0.96,1.0,0.8,0.8,1.0,1.0,1.0,1.0
302C_20210929,302C,20210929,09/29/2021,Oat,Under,0.8333333333333334,0.8571428571428571,0.9,0.8666666666666667,0.9,0.9,0.8333333333333334,0.8571428571428571,0.9,0.8333333333333334,0.8260869565217391,0.95,0.8,0.9375,0.75,0.8666666666666667,0.9,0.9,0.8333333333333334,0.8571428571428571,0.9,0.7666666666666667,0.7407407407407407,1.0,0.7666666666666667,0.7407407407407407,1.0,0.8666666666666667,0.8636363636363636,0.95,0.7666666666666667,0.7407407407407407,1.0,0.8333333333333334,0.8260869565217391,0.95
